id	target	node	file	line	lineText
appearanceMode	ios	declaration	SingleThread/ContentView.swift	72	    @AppStorage("appearanceMode")
appearanceMode	ios	read	SingleThread/AppDelegate.swift	47	            Self.applyAppearance(AppearanceMode.load())
appearanceMode	ios	dualRead	SingleThread/AppearanceMode.swift	80	        guard let rawValue = defaults.object(forKey: "appearanceMode") as? String,
appearanceMode	ios	write	SingleThread/ContentView+Settings.swift	19	            .onChange(of: bag.appearanceMode) { _, new in appearanceMode = new }
textSize	ios	declaration	SingleThread/ContentView.swift	75	    @AppStorage("textSize")
textSize	ios	read	SingleThread/ContentView.swift	236	        .modifier(TextSizeModifier(textSize: textSize))
textSize	ios	write	SingleThread/ContentView+Settings.swift	20	            .onChange(of: bag.textSize) { _, new in textSize = new }
allowsLandscape	ios	declaration	SingleThread/ContentView.swift	79	        @AppStorage("allowsLandscape")
allowsLandscape	ios	dualRead	SingleThread/AppDelegate.swift	53	            let keyExists = UserDefaults.standard.object(forKey: "allowsLandscape") != nil
allowsLandscape	ios	read	SingleThread/AppDelegate.swift	55	                ? UserDefaults.standard.bool(forKey: "allowsLandscape")
allowsLandscape	ios	write	SingleThread/ContentView+Settings.swift	23	                .onChange(of: bag.allowsLandscape) { _, new in allowsLandscape = new }
showMicrophoneButton	ios	declaration	SingleThread/ContentView.swift	83	    @AppStorage("showMicrophoneButton")
showMicrophoneButton	ios	read	SingleThread/ContentView.swift	624	            } else if viewModel.dictation.canDictate, showMicrophoneButton {
showMicrophoneButton	ios	write	SingleThread/ContentView+Settings.swift	33	            .onChange(of: bag.showMicrophoneButton) { _, new in showMicrophoneButton = new }
showMicrophoneButton	ios	seam	SingleThread/AppViewModel.swift	221	        UserDefaults.standard.register(defaults: ["showMicrophoneButton": true])
backgroundEnabled	ios	declaration	SingleThread/ContentView.swift	86	    @AppStorage("backgroundEnabled", store: .standard)
backgroundEnabled	ios	read	SingleThread/ContentView.swift	153	                    isEnabled: backgroundEnabled,
backgroundEnabled	ios	write	SingleThread/ContentView+Settings.swift	34	            .onChange(of: bag.backgroundEnabled) { _, new in backgroundEnabled = new }
backgroundFadePercent	ios	declaration	SingleThread/ContentView.swift	89	    @AppStorage("backgroundFadePercent", store: .standard)
backgroundFadePercent	ios	read	SingleThread/ContentView.swift	154	                    opacity: BackgroundFade.opacity(for: backgroundFadePercent))
backgroundFadePercent	ios	write	SingleThread/ContentView+Settings.swift	35	            .onChange(of: bag.backgroundFadePercent) { _, new in backgroundFadePercent = new }
backgroundPinned	ios	declaration	SingleThread/ContentView.swift	92	    @AppStorage("backgroundPinned", store: .standard)
backgroundPinned	ios	read	SingleThread/ContentView.swift	216	            await viewModel.backgroundImage.setPinned(backgroundPinned)
backgroundPinned	ios	write	SingleThread/ContentView+Settings.swift	36	            .onChange(of: bag.backgroundPinned) { _, new in backgroundPinned = new }
enableActionButtons	ios	declaration	SingleThread/ContentView.swift	96	        @AppStorage("enableActionButtons")
enableActionButtons	ios	dualRead	SingleThread/ContentViewModel.swift	46	            UserDefaults.standard.bool(forKey: "enableActionButtons")
enableActionButtons	ios	read	SingleThread/ContentView.swift	630	                    } else if viewModel.showsActionButtons {
enableActionButtons	ios	write	SingleThread/ContentView+Settings.swift	24	                .onChange(of: bag.enableActionButtons) { _, new in enableActionButtons = new }
enableActionButtons	ios	seam	SingleThread/AppViewModel.swift	252	                UserDefaults.standard.set(true, forKey: "enableActionButtons")
enableActionButtons	ios	seam	SingleThread/AppViewModel.swift	298	        UserDefaults.standard.set(true, forKey: "enableActionButtons")
showSwipePrompt	ios	declaration	SingleThread/ContentView.swift	101	        @AppStorage("showSwipePrompt")
showSwipePrompt	ios	read	SingleThread/ContentView.swift	397	                                showSwipePrompt: swipePromptBinding)
showSwipePrompt	ios	write	SingleThread/ContentView+Settings.swift	25	                .onChange(of: bag.showSwipePrompt) { _, new in showSwipePrompt = new }
